iter	Passed	Remaining
1087	214679	22099
1088	214855	21899
1089	214996	21696
1090	215300	21510
1091	215633	21326
1092	215921	21137
1093	216252	20953
1094	216878	20796
1095	217168	20607
1096	217434	20415
1097	217667	20220
1098	218213	20054
1099	218536	19866
1100	218947	19687
1101	219474	19517
1102	219712	19321
1103	220241	19151
1104	220409	18949
1105	220771	18763
1106	221041	18569
1107	221411	18384
1108	221593	18183
1109	221762	17980
1110	221957	17780
1111	222208	17584
1112	222436	17387
1113	222643	17187
1114	222784	16983
1115	222976	16783
1116	223179	16583
1117	223369	16383
1118	223618	16186
1119	223888	15992
1120	224218	15801
1121	224629	15615
1122	224994	15427
1123	225304	15234
1124	225684	15045
1125	226082	14858
1126	226474	14669
1127	226794	14476
1128	227038	14277
1129	227321	14081
1130	227644	13888
1131	228010	13696
1132	228399	13506
1133	228656	13308
1134	228903	13109
1135	229170	12911
1136	229316	12706
1137	229740	12516
1138	230017	12318
1139	230235	12117
1140	230623	11925
1141	230834	11723
1142	231132	11526
1143	231468	11330
1144	231764	11132
1145	231965	10930
1146	232135	10726
1147	232431	10528
1148	232904	10337
1149	233329	10144
1150	233940	9959
1151	234410	9767
1152	234762	9569
1153	234998	9367
1154	235203	9163
1155	235457	8962
1156	235677	8758
1157	235905	8556
1158	236026	8349
1159	236114	8141
1160	236333	7938
1161	236527	7734
1162	236682	7529
1163	236881	7326
1164	237093	7122
1165	237582	6927
1166	238103	6733
1167	238468	6533
1168	238850	6333
1169	239186	6132
1170	239410	5929
1171	239586	5723
1172	239805	5519
1173	240052	5316
1174	240397	5114
1175	240586	4909
1176	240794	4705
1177	240965	4500
1178	241168	4295
1179	241333	4090
1180	241472	3884
1181	241658	3680
1182	241840	3475
1183	242294	3274
1184	242577	3070
1185	242909	2867
1186	243204	2663
1187	243514	2459
1188	243940	2256
1189	244153	2051
1190	244351	1846
1191	244657	1641
1192	244941	1437
1193	245254	1232
1194	245459	1027
1195	245652	821
1196	245852	616
1197	246072	410
1198	246319	205
1199	246569	0
